name; nat_dex_id; type1; type2; egg_group1; egg_group2; height; weight; male_ratio; classification; capture_rate; egg_steps; exp_growth; ev; color; sz_flee_rate; ability; base_happiness; base_atk; base_def; base_spatk; base_spdef; base_speed; base_hp; damage_normal; damage_fire; damage_water; damage_grass; damage_electric; damage_ice; damage_fighting; damage_poison; damage_ground; damage_flying; damage_psychic; damage_bug; damage_rock; damage_ghost; damage_dragon; damage_dark; damage_steel; dex_entry_diamond; dex_entry_pearl; dex_entry_platinum; dex_entry_HG; dex_entry_SS; 
Doduo; 84; Normal; Flying; Flying; Flying; 1.4; 39.2; 50.0; Twin Bird Pokémon; 190; 5120; 1000000; 1 Attack Point(s); Brown; 90; Run Away; 70; 95 - 142; 180 - 274; 95 - 142; 180 - 274; 95 - 142; 35; 1.0; 1.0; 1.0; 0.5; 2.0; 2.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.5; 2.0; 0.0; 1.0; 1.0; 1.0; The brains in its two heads appear to communicate emotions to each other with a telepathic power.; The brains in its two heads appear to communicate emotions to each other with a telepathic power.; The brains in its two heads appear to communicate emotions to each other with a telepathic power.; By alternately raising and lowering its two heads, it balances itself to be more stable while running.; It races through grassy plains with powerful strides, leaving footprints up to four inches deep.; 
Dodrio; 85; Normal; Flying; Flying; Flying; 1.8; 85.2; 50.0; Triple Bird Pokémon; 45; 5120; 1000000; 2 Attack Point(s); Brown; 60; Run Away; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 1.0; 1.0; 0.5; 2.0; 2.0; 1.0; 1.0; 0.0; 1.0; 1.0; 0.5; 2.0; 0.0; 1.0; 1.0; 1.0; When DODUO evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph.; When DODUO evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph.; When DODUO evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph.; It collects data and plans three times as wisely, but it may think too much and fall into a state of immobility.; If one of the heads gets to eat, the others will be satisfied, too, and they will stop squabbling.; 
Seel; 86; Water; None; Water 1; Ground; 1.1; 90.0; 50.0; Sea Lion Pokémon; 190; 5120; 1000000; 1 Sp. Defense Point(s); White; 0; Thick Fat; 70; 125 - 172; 240 - 334; 125 - 172; 240 - 334; 125 - 172; 65; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; A Pokmon that lives on icebergs. It swims in the sea using the point on its head to break up ice.; A Pokmon that lives on icebergs. It swims in the sea using the point on its head to break up ice.; A Pokmon that lives on icebergs. It swims in the sea using the point on its head to break up ice.; Although it cant walk well on land, it is a graceful swimmer. It especially loves being in frigid seas.; In daytime, it is often found asleep on the seabed in shallow waters. Its nostrils close while it swims.; 
Dewgong; 87; Water; Ice; Water 1; Ground; 1.7; 120.0; 50.0; Sea Lion Pokémon; 75; 5120; 1000000; 2 Sp. Defense Point(s); White; 0; Thick Fat; 70; 150 - 197; 290 - 384; 150 - 197; 290 - 384; 150 - 197; 90; 1.0; 1.0; 0.5; 2.0; 2.0; 0.25; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; In snow, the pure white coat covering its body obscures it from predators.; In snow, the pure white coat covering its body obscures it from predators.; In snow, the pure white coat covering its body obscures it from predators.; Its streamlined body has little drag in water. The colder the temperature, the friskier it gets.; It loves frigid seas with ice floes. It uses its long tail to change swimming direction quickly.; 
Grimer; 88; Poison; None; Indeterminate; Indeterminate; 0.9; 30.0; 50.0; Sludge Pokémon; 190; 5120; 1000000; 1 HP Point(s); Purple; 60; Stench; 70; 140 - 187; 270 - 364; 140 - 187; 270 - 364; 140 - 187; 80; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; It was born when sludge in a dirty stream was exposed to the moons X-rays. It appears among filth.; It was born when sludge in a dirty stream was exposed to the moons X-rays. It appears among filth.; It was born when sludge in a dirty stream was exposed to the moons X-rays. It appears among fil; As it moves, it loses bits of its body, from which new GRIMER emerge. This worsens the stench around it.; Wherever GRIMER has passed, so many germs are left behind that no plants will ever grow again.; 
Muk; 89; Poison; None; Indeterminate; Indeterminate; 1.2; 30.0; 50.0; Sludge Pokémon; 75; 5120; 1000000; 1 HP Point(s) 1 Attack Point(s); Purple; 60; Stench; 70; 165 - 212; 320 - 414; 165 - 212; 320 - 414; 165 - 212; 105; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; A toxic fluid seeps from its body. The fluid instantly kills plants and trees on contact.; A toxic fluid seeps from its body. The fluid instantly kills plants and trees on contact.; A toxic fluid seeps from its body. The fluid instantly kills plants and trees on contact.; They love to gather in smelly areas where sludge accumulates, making the stench around them worse.; Its body is made of a powerful poison. Touching it accidentally will cause a fever that requires bed rest.; 
Shellder; 90; Water; None; Water 3; Water 3; 0.3; 4.0; 50.0; Bivalve Pokémon; 190; 5120; 1250000; 1 Defense Point(s); Purple; 0; Shell Armor; 70; 90 - 137; 170 - 264; 90 - 137; 170 - 264; 90 - 137; 30; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.; It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.; It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.; It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.; Grains of sand trapped in its shells mix with its body fluids to form beautiful pearls.; 
Cloyster; 91; Water; Ice; Water 3; Water 3; 1.5; 132.5; 50.0; Bivalve Pokémon; 60; 5120; 1250000; 2 Defense Point(s); Purple; 0; Shell Armor; 70; 110 - 157; 210 - 304; 110 - 157; 210 - 304; 110 - 157; 50; 1.0; 1.0; 0.5; 2.0; 2.0; 0.25; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.; It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.; It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.; Once it slams its shell shut, it is impossible to open, even by those with superior strength.; CLOYSTER that live in seas with harsh tidal currents grow large, sharp spikes on their shells.; 
Gastly; 92; Ghost; Poison; Indeterminate; Indeterminate; 1.3; 0.1; 50.0; Gas Pokémon; 190; 5120; 1059860; 1 Sp. Attack Point(s); Purple; 120; Levitate; 70; 90 - 137; 170 - 264; 90 - 137; 170 - 264; 90 - 137; 30; 0.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.0; 0.25; 2.0; 1.0; 2.0; 0.25; 1.0; 2.0; 1.0; 2.0; 1.0; This Pokmons body is 95 made up of gases, which are blown away by strong gusts of wind.; A Pokmon born from poison gases. It defeats even the largest foes by enveloping them in gas.; Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.; With its gas-like body, it can sneak into any place it desires. However, it can be blown away by wind.; Its body is made of gas. Despite lacking substance, it can envelop an opponent of any size and cause suffocation.; 
Haunter; 93; Ghost; Poison; Indeterminate; Indeterminate; 1.6; 0.1; 50.0; Gas Pokémon; 90; 5120; 1059860; 2 Sp. Attack Point(s); Purple; 90; Levitate; 70; 105 - 152; 200 - 294; 105 - 152; 200 - 294; 105 - 152; 45; 0.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.0; 0.25; 2.0; 1.0; 2.0; 0.25; 1.0; 2.0; 1.0; 2.0; 1.0; It can slip through any obstacle. It lurks inside walls to keep an eye on its foes.; It licks with its gaseous tongue to steal the victims life force. It lurks in darkness for prey.; It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.; In total darkness, where nothing is visible, HAUNTER lurks, silently stalking its next victim.; Its tongue is made of gas. If licked, its victim starts shaking constantly until death eventually comes.; 
Gengar; 94; Ghost; Poison; Indeterminate; Indeterminate; 1.4; 40.5; 50.0; Gas Pokémon; 45; 5120; 1059860; 3 Sp. Attack Point(s); Purple; 0; Levitate; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 0.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.0; 0.25; 2.0; 1.0; 2.0; 0.25; 1.0; 2.0; 1.0; 2.0; 1.0; It hides in shadows. It is said that if GENGAR is hiding, it cools the area by nearly 10 degrees F.; Lurking in the shadowy corners of rooms, it awaits chances to steal its preys life force.; The leer that floats in darkness belongs to a GENGAR delighting in casting curses on people.; It steals heat from its surroundings. If you feel a sudden chill, it is certain that a GENGAR appeared.; To steal the life of its target, it slips into the preys shadow and silently waits for an opportunity.; 
Onix; 95; Rock; Ground; Mineral; Mineral; 8.8; 210.0; 50.0; Rock Snake Pokémon; 45; 6400; 1000000; 1 Defense Point(s); Gray; 60; Rock Head; 70; 95 - 142; 180 - 274; 95 - 142; 180 - 274; 95 - 142; 35; 0.5; 0.5; 4.0; 4.0; 0.0; 2.0; 2.0; 0.25; 2.0; 0.5; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 2.0; When it travels underground, it causes rumbling and tremors. It can move at 50 mph.; It squirms through the ground using its long and rugged body. It always eats while burrowing.; It burrows through the ground at a speed of 50 mph while feeding on large boulders.; It twists and squirms through the ground. The thunderous roar of its tunneling echoes a long way.; It rapidly bores through the ground at 50 mph by squirming and twisting its massive, rugged body.; 
Drowzee; 96; Psychic; None; HumanShape; HumanShape; 1.0; 32.4; 50.0; Hypnosis Pokémon; 190; 5120; 1000000; 1 Sp. Defense Point(s); Yellow; 90; Insomnia; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 0.5; 2.0; 1.0; 2.0; 1.0; 2.0; 1.0; It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.; It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.; It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.; If you think that you had a good dream but you cant remember it, a DROWZEE has probably eaten it.; It remembers every dream it eats. It rarely eats the dreams of adults because childrens are much tastier.; 
Hypno; 97; Psychic; None; HumanShape; HumanShape; 1.6; 75.6; 50.0; Hypnosis Pokémon; 75; 5120; 1000000; 2 Sp. Defense Point(s); Yellow; 60; Insomnia; 70; 145 - 192; 280 - 374; 145 - 192; 280 - 374; 145 - 192; 85; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 0.5; 2.0; 1.0; 2.0; 1.0; 2.0; 1.0; Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up.; Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up.; Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up.; When it is very hungry, it puts humans it meets to sleep, then it feasts on their dreams.; Always holding a pendulum that it swings at a steady rhythm, it causes drowsiness in anyone nearby.; 
Krabby; 98; Water; None; Water 3; Water 3; 0.4; 6.5; 50.0; River Crab Pokémon; 225; 5120; 1000000; 1 Attack Point(s); Red; 90; Hyper Cutter; 70; 90 - 137; 170 - 264; 90 - 137; 170 - 264; 90 - 137; 30; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.; It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.; It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.; If it senses danger approaching, it cloaks itself with bubbles from its mouth so it will look bigger.; The pincers break off easily. If it loses a pincer, it somehow becomes incapable of walking sideways.; 
Kingler; 99; Water; None; Water 3; Water 3; 1.3; 60.0; 50.0; Pincer Pokémon; 60; 5120; 1000000; 2 Attack Point(s); Red; 60; Hyper Cutter; 70; 115 - 162; 220 - 314; 115 - 162; 220 - 314; 115 - 162; 55; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim.; The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim.; The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim.; It can hardly lift its massive, overgrown pincer. The pincers size makes it difficult to aim properly.; Its pincers grow peculiarly large. If it lifts the pincers too fast, it loses its balance and staggers.; 
Voltorb; 100; Electric; None; Mineral; Mineral; 0.5; 10.4; None; Ball Pokémon; 190; 5120; 1000000; 1 Speed Point(s); Red; 120; Soundproof; 70; 100 - 147; 190 - 284; 100 - 147; 190 - 284; 100 - 147; 40; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It looks just like a Pok Ball. It is dangerous because it may electrocute or explode on touch.; It looks just like a Pok Ball. It is dangerous because it may electrocute or explode on touch.; It looks just like a Poke Ball. It is dangerous because it may electrocute or explode on touch.; It rolls to move. If the ground is uneven, a sudden jolt from hitting a bump can cause it to explode.; It was discovered when Pok Balls were introduced. It is said that there is some connection.; 
Electrode; 101; Electric; None; Mineral; Mineral; 1.2; 66.6; None; Ball Pokémon; 60; 5120; 1000000; 2 Speed Point(s); Red; 0; Soundproof; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It is known to drift on winds if it is bloated to bursting with stored electricity.; It is known to drift on winds if it is bloated to bursting with stored electricity.; It is known to drift on winds if it is bloated to bursting with stored electricity.; It is dangerous. If it has too much electricity and has nothing to do, it amuses itself by exploding.; It stores an overflowing amount of electric energy inside its body. Even a small shock makes it explode.; 
Exeggcute; 102; Grass; Psychic; Plant; Plant; 0.4; 2.5; 50.0; Egg Pokémon; 90; 5120; 1250000; 1 Defense Point(s); Pink; 120; Chlorophyll; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 2.0; 0.5; 0.5; 0.5; 2.0; 0.5; 2.0; 0.5; 2.0; 0.5; 4.0; 1.0; 2.0; 1.0; 2.0; 1.0; Its six eggs converse using telepathy. They can quickly gather if they become separated.; Its six eggs converse using telepathy. They can quickly gather if they become separated.; Its six eggs converse using telepathy. They can quickly gather if they become separated.; Their shells are very durable. Even if they crack, they can survive without spilling their contents.; Using telepathy only they can employ, they always form a cluster of six EXEGGCUTE.; 
Exeggutor; 103; Grass; Psychic; Plant; Plant; 2.0; 120.0; 50.0; Coconut Pokémon; 45; 5120; 1250000; 2 Sp. Attack Point(s); Yellow; 0; Chlorophyll; 70; 155 - 202; 300 - 394; 155 - 202; 300 - 394; 155 - 202; 95; 1.0; 2.0; 0.5; 0.5; 0.5; 2.0; 0.5; 2.0; 0.5; 2.0; 0.5; 4.0; 1.0; 2.0; 1.0; 2.0; 1.0; It is called The Walking Jungle. If a head grows too big, it falls off and becomes an EXEGGCUTE.; It is called The Walking Jungle. If a head grows too big, it falls off and becomes an EXEGGCUTE.; It is called The Walking Jungle. If a head grows too big, it falls off and becomes an EXEGGCUTE.; Its three heads think independently. However, they are friendly and never appear to squabble.; If a head drops off, it emits a telepathic call in search of others to form an EXEGGCUTE cluster.; 
Cubone; 104; Ground; None; Monster; Monster; 0.4; 6.5; 50.0; Lonely Pokémon; 190; 5120; 1000000; 1 Defense Point(s); Brown; 90; Rock Head; 70; 110 - 157; 210 - 304; 110 - 157; 210 - 304; 110 - 157; 50; 1.0; 1.0; 2.0; 2.0; 0.0; 2.0; 1.0; 0.5; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 1.0; When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly.; When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly.; When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly.; If it is sad or lonely, the skull it wears shakes and emits a plaintive and mournful sound.; It always wears the skull of its dead mother, so no one has any idea what its hidden face looks like.; 
Marowak; 105; Ground; None; Monster; Monster; 1.0; 45.0; 50.0; Bone Keeper Pokémon; 75; 5120; 1000000; 2 Defense Point(s); Brown; 60; Rock Head; 70; 120 - 167; 230 - 324; 120 - 167; 230 - 324; 120 - 167; 60; 1.0; 1.0; 2.0; 2.0; 0.0; 2.0; 1.0; 0.5; 1.0; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 1.0; From its birth, this savage Pokmon constantly holds bones. It is skilled in using them as weapons.; From its birth, this savage Pokmon constantly holds bones. It is skilled in using them as weapons.; From its birth, this savage Pokmon constantly holds bones. It is skilled in using them as weapons.; It has been seen pounding boulders with the bone it carries in order to tap out messages to others.; It collects bones from an unknown place. Some whisper that a MAROWAK graveyard exists somewhere in the world.; 
Hitmonlee; 106; Fighting; None; HumanShape; HumanShape; 1.5; 49.8; 100.0; Kicking Pokémon; 45; 6400; 1000000; 2 Attack Point(s); Brown; 0; Limber; 70; 110 - 157; 210 - 304; 110 - 157; 210 - 304; 110 - 157; 50; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 2.0; 0.5; 0.5; 1.0; 1.0; 0.5; 1.0; Its legs can stretch double. First-time foes are startled by its extensible reach.; Its legs can stretch double. First-time foes are startled by its extensible reach.; Its legs can stretch double. First-time foes are startled by its extensible reach.; This amazing Pokmon has an awesome sense of balance. It can kick in succession from any position.; If it starts kicking repeatedly, both legs will stretch even longer to strike a fleeing foe.; 
Hitmonchan; 107; Fighting; None; HumanShape; HumanShape; 1.4; 50.2; 100.0; Punching Pokémon; 45; 6400; 1000000; 2 Sp. Defense Point(s); Brown; 0; Keen Eye; 70; 110 - 157; 210 - 304; 110 - 157; 210 - 304; 110 - 157; 50; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 2.0; 0.5; 0.5; 1.0; 1.0; 0.5; 1.0; The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.; The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.; The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.; Its punches slice the air. However, it seems to need a short break after fighting for three minutes.; Its punches slice the air. They are launched at such high speed, even a slight graze could cause a burn.; 
Lickitung; 108; Normal; None; Monster; Monster; 1.2; 65.5; 50.0; Licking Pokémon; 45; 5120; 1000000; 2 HP Point(s); Pink; 60; Own Tempo; 70; 150 - 197; 290 - 384; 150 - 197; 290 - 384; 150 - 197; 90; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; Instead of hands, it uses its tongue, which is twice its height. Its sticky saliva grips anything.; Instead of hands, it uses its tongue, which is twice its height. Its sticky saliva grips anything.; When it extends its over-six-foot- long tongue, its tail quivers. There is a possibility they are connected.; Its tongue has well-developed nerves that run to the very tip, so it can be deftly manipulated.; Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful.; 
Koffing; 109; Poison; None; Indeterminate; Indeterminate; 0.6; 1.0; 50.0; Poison Gas Pokémon; 190; 5120; 1000000; 1 Defense Point(s); Purple; 90; Levitate; 70; 100 - 147; 190 - 284; 100 - 147; 190 - 284; 100 - 147; 40; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive.; Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive.; Lighter-than-air gases in its body keep it aloft. The gases not only smell, they are also explosive.; Its thin, filmy body is filled with gases that cause constant sniffles, coughs and teary eyes.; The poisonous gases it contains are a little bit lighter than air, keeping it slightly airborne.; 
Weezing; 110; Poison; None; Indeterminate; Indeterminate; 1.2; 9.5; 50.0; Poison Gas Pokémon; 60; 5120; 1000000; 2 Defense Point(s); Purple; 60; Levitate; 70; 125 - 172; 240 - 334; 125 - 172; 240 - 334; 125 - 172; 65; 1.0; 1.0; 1.0; 0.5; 1.0; 1.0; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; It grows by feeding on gases released by garbage. Though very rare, triplets have been found.; It grows by feeding on gases released by garbage. Though very rare, triplets have been found.; It grows by feeding on gases released by garbage. Though very rare, triplets have been found.; If one of the twin KOFFING inflates, the other one deflates. It constantly mixes its poisonous gases.; Top-grade perfume is made using its internal poison gases by diluting them to the highest level.; 
Rhyhorn; 111; Ground; Rock; Monster; Ground; 1.0; 115.0; 50.0; Spikes Pokémon; 120; 5120; 1250000; 1 Defense Point(s); Gray; 90; Lightningrod; 70; 140 - 187; 270 - 364; 140 - 187; 270 - 364; 140 - 187; 80; 0.5; 0.5; 4.0; 4.0; 0.0; 2.0; 2.0; 0.25; 2.0; 0.5; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 2.0; Its body is clad in a thick hide, and its tackles topple buildings. Unfortunately, it is not smart.; Its body is clad in a thick hide, and its tackles topple buildings. Unfortunately, it is not smart.; Its powerful tackles can destroy anything. However, it is too slow witted to help people work.; It is inept at turning because of its four short legs. It can only charge and run in one direction.; It doesnt care if there is anything in its way. It just charges and destroys all obstacles.; 
Rhydon; 112; Ground; Rock; Monster; Ground; 1.9; 120.0; 50.0; Drill Pokémon; 60; 5120; 1250000; 2 Attack Point(s); Gray; 60; Lightningrod; 70; 165 - 212; 320 - 414; 165 - 212; 320 - 414; 165 - 212; 105; 0.5; 0.5; 4.0; 4.0; 0.0; 2.0; 2.0; 0.25; 2.0; 0.5; 1.0; 1.0; 0.5; 1.0; 1.0; 1.0; 2.0; Its brain developed after it stood up on its hind legs. Its drill horn bores tunnels through solid rock.; Its brain developed after it stood up on its hind legs. Its drill horn bores tunnels through solid rock.; Standing on its hind legs freed its forelegs and made it smarter. It is very forgetful, however.; Its rugged hide protects it from even the heat of lava. However, the hide also makes it insensitive.; Its brain developed when it began walking on hind legs. Its thick hide protects it even in magma.; 
Chansey; 113; Normal; None; Fairy; Fairy; 1.1; 34.6; 0.0; Egg Pokémon; 30; 10240; 800000; 2 HP Point(s); Pink; 90; Natural Cure; 140; 310 - 357; 610 - 704; 310 - 357; 610 - 704; 310 - 357; 250; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; It is said to deliver happiness. Being compassionate, it shares its eggs with injured people.; It lays several eggs a day and wont share them with those who have evil in their hearts.; A kindly Pokmon that lays highly nutritious eggs and shares them with injured Pokmon or people.; It walks carefully to prevent its egg from breaking. However, it is extremely fast at running away.; Being few in number and difficult to capture, it is said to bring happiness to the Trainer who catches it.; 
Tangela; 114; Grass; None; Plant; Plant; 1.0; 35.0; 50.0; Vine Pokémon; 45; 5120; 1000000; 1 Defense Point(s); Blue; 90; Chlorophyll; 70; 125 - 172; 240 - 334; 125 - 172; 240 - 334; 125 - 172; 65; 1.0; 2.0; 0.5; 0.5; 0.5; 2.0; 1.0; 2.0; 0.5; 2.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; It is shrouded by blue vines. No one has seen the face hidden behind this growth of vines.; It is shrouded by blue vines. No one has seen the face hidden behind this growth of vines.; The blue vines shrouding its body are covered in a growth of fine hair. It is known to be ticklish.; The vines that cloak its entire body are always jiggling. They effectively unnerve its foes.; It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.; 
Kangaskhan; 115; Normal; None; Monster; Monster; 2.2; 100.0; 0.0; Parent Pokémon; 45; 5120; 1000000; 2 HP Point(s); Brown; 150; Early Bird; 70; 165 - 212; 320 - 414; 165 - 212; 320 - 414; 165 - 212; 105; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 2.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.0; 1.0; 1.0; 1.0; It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.; It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.; It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.; If it is safe, the young gets out of the belly pouch to play. The adult keeps a close eye on the youngster.; To protect its young, it will never give up during battle, no matter how badly wounded it is.; 
Horsea; 116; Water; None; Water 1; Dragon; 0.4; 8.0; 50.0; Dragon Pokémon; 225; 5120; 1000000; 1 Sp. Attack Point(s); Blue; 0; Swift Swim; 70; 90 - 137; 170 - 264; 90 - 137; 170 - 264; 90 - 137; 30; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.; It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.; It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.; If attacked by a larger enemy, it quickly swims to safety by adeptly controlling its well-developed dorsal fin.; Its big, developed fins move rapidly, allowing it to swim backward while still facing forward.; 
Seadra; 117; Water; None; Water 1; Dragon; 1.2; 25.0; 50.0; Dragon Pokémon; 75; 5120; 1000000; 1 Defense Point(s) 1 Sp. Attack Point(s); Blue; 0; Poison Point; 70; 115 - 162; 220 - 314; 115 - 162; 220 - 314; 115 - 162; 55; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; Its spines provide protection. Its fins and bones are prized as traditional medicine ingredients.; Its spines provide protection. Its fins and bones are prized as traditional medicine ingredients.; Its spines provide protection. Its fins and bones are prized as traditional medicine ingredients.; An examination of its cells revealed the presence of a gene not found in HORSEA. It became a hot topic.; Its fin-tips leak poison. Its fins and bones are highly valued as ingredients in herbal medicine.; 
Goldeen; 118; Water; None; Water 2; Water 2; 0.6; 15.0; 50.0; Goldfish Pokémon; 225; 5120; 1000000; 1 Attack Point(s); Red; 90; Swift Swim; 70; 105 - 152; 200 - 294; 105 - 152; 200 - 294; 105 - 152; 45; 1.0; 0.5; 0.5; 2.0; 2.0; 0.5; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; It swims elegantly by flittering its tail fin as if it were a dress. It has the look of a queen.; It swims at a steady 5 knots. If it senses danger, it will strike back with its sharp horn.; Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn.; Its dorsal, pectoral and tail fins wave elegantly in water. That is why it is known as the water dancer.; A strong swimmer, it is capable of swimming nonstop up fast streams at a steady speed of five knots per hour.; 
